ticker,return,final_value,trades,win_rate,sharpe,max_drawdown
QQQ,4.831402203898579,10483.140220389858,20,25.0,-0.55,25.35
VOO,35.65768534397323,13565.768534397323,19,42.10526315789473,-0.33,13.9
NVDA,6.41242313657598,10641.242313657598,12,33.33333333333333,-1.88,8.27
MSFT,-6.594447832483274,9340.555216751673,20,25.0,-3.0,9.89
AMD,-3.477640103130343,9652.235989686966,5,0.0,-8.55,5.46
AAPL,7.5012462839458935,10750.12462839459,21,28.57142857142857,-0.85,12.3
GOOGL,3.395175538561034,10339.517553856103,16,37.5,-1.58,12.61
TSLA,5.6237336668777065,10562.37336668777,11,45.45454545454545,-1.99,8.84
